,Unnamed: 0.1,Unnamed: 0,time,leader,platoon compo,string compo,platoon DTW,ACC,run,duration,length,heavy in platoon,mean speed,Flow,Density,LC Density,CF DTW,difference
89,42,11,60.2,10.0,"[19, 22]","[19, 22]","[0.44, 0.83]","[True, True]",11.csv,85.2,2,0,22.779746474735603,0.3801608901190815,0.0146663958712509,0.0001405119777726,[0.4145061 0.5330783],[0.        0.2969217]
90,43,12,65.2,10.0,"[19, 22]","[19, 22]","[0.58, 0.69]","[True, True]",11.csv,90.2,2,0,23.027529411764707,0.3382157050837112,0.0128265457615345,0.0001293976873799,[0.45344431 0.6653864 ],[0.        0.0246136]
91,44,0,14.0,19.0,"[29, 22]","[29, 22]","[0.52, 1.08]","[False, True]",11.csv,39.0,2,0,13.04929820051414,1.3933667150529023,0.0864806814767194,0.0005046856006292,[0.61224013 0.4324905 ],[0.        0.6475095]
92,45,9,168.7,19.0,"[1764, 22, 2762]","[1764, 22, 2762]","[0.22, 0.6, 0.86]","[False, True, False]",11.csv,193.7,3,0,23.465157671006228,0.805653912585133,0.0293423086522356,0.0002679173543849,[0.62140509 0.34987209],[0]
93,0,0,149.4,1631.0,"[1480, 61]","[1480, 61]","[0.91, 1.05]","[False, False]",18.csv,174.4,2,0,12.461548662858949,0.8024390987679318,0.0580423673244575,0.0003808387690244,[0.51878298],[0]
94,0,0,5.0,10.0,"[26, 20]","[26, 20, 17, 29, 32, 101, 96, 102, 115, 119, 140, 152]","[1.33, 1.45]","[False, False]",19.csv,30.0,2,0,30.47048913043478,1.2334126736714748,0.0502598312150397,0.0002049246971175,[0.53502167 1.04423953],[0.         0.40576047]
95,1,1,15.0,26.0,"[20, 17, 140]","[20, 17, 29, 32, 101, 96, 102, 115, 119, 140]","[0.57, 1.17, 1.14]","[False, False, False]",19.csv,40.0,3,0,30.829534252297407,1.0693195904603598,0.0417791139045028,0.0002259307479153,[0.72335598 0.49414294],[0]
96,2,2,20.0,26.0,"[20, 17, 32, 101, 96, 102, 119, 140]","[20, 17, 29, 32, 101, 96, 102, 115, 119, 140]","[0.48, 1.14, 1.22, 1.01, 0.94, 0.61, 0.53, 1.4]","[False, False, False, False, False, False, False, False]",19.csv,45.0,8,0,30.485583379732734,0.9772307503386204,0.0376935921353908,0.0002380504736085,"[0.69791116 0.42149201 0.29692837 0.5953887  0.58449142 0.71543487
 0.53316136]",[0]
97,3,3,25.0,26.0,"[20, 32, 101, 96, 102, 119, 140]","[20, 17, 29, 32, 101, 96, 102, 115, 119, 140]","[0.46, 1.32, 1.3, 0.95, 0.99, 1.3, 1.16]","[False, False, False, False, False, False, False]",19.csv,50.0,7,0,30.758250501002003,0.8659218709385816,0.032580395179232,0.0002554692370952,[0.84073226 0.62643162 0.17366399 0.64535468 0.78711111 0.56354948],[0]
98,4,0,30.0,29.0,"[32, 101, 96]","[32, 101, 96, 102]","[1.44, 1.32, 1.39]","[False, False, False]",19.csv,55.0,3,0,31.75181815421979,0.7452502480911511,0.0275020729636122,0.0002478635102519,[0.14728551 0.68539087 1.23991821],[0.         0.63460913 0.15008179]
99,5,1,45.0,29.0,"[32, 101]","[32, 101, 96, 102]","[1.04, 0.9]","[False, False]",19.csv,70.0,2,0,32.79936653265004,0.8440384657126934,0.0306681341093577,0.0003268362427285,[0.4968813  0.81701864],[0.         0.08298136]
100,6,0,35.0,32.0,"[101, 96, 102]","[101, 96, 102]","[0.61, 0.47, 1.25]","[False, False, False]",19.csv,60.0,3,0,31.668857809329968,0.6733688425378032,0.0243832606791049,0.0002282649380182,[0.94103049 0.60220322 0.60452988],[0.         0.13220322 0.64547012]
101,7,1,40.0,32.0,"[101, 96, 102]","[101, 96, 102]","[0.6, 0.66, 1.42]","[False, False, False]",19.csv,65.0,3,0,31.57237903810193,0.6189161029064328,0.0220181497993623,0.0002160760529868,[0.95866744 0.54212708 0.58272879],[0.         0.11787292 0.83727121]
102,8,2,50.0,32.0,"[101, 96]","[101, 96, 102]","[0.66, 1.38]","[False, False]",19.csv,75.0,2,0,32.646529605926496,0.6529422379383016,0.0228444536318452,0.0001972450158674,[0.64288571 0.82530898],[0.         0.55469102]
103,9,0,5.0,6.0,"[8, 16, 12, 21]","[8, 16, 12, 21, 24, 33, 34]","[0.58, 0.66, 0.76, 1.31]","[False, False, False, False]",19.csv,30.0,4,0,28.990078595317723,1.2494689478836092,0.0499017258753115,0.000173752527421,[0.77374799 0.32717602 0.82995871 0.62000816],[0.         0.33282398 0.06995871 0.68999184]
104,10,0,10.0,8.0,"[16, 12]","[16, 12]","[1.23, 1.07]","[False, False]",19.csv,35.0,2,0,29.578163323782235,1.11003349613853,0.0421466653547914,0.0002021007381035,[0.37538525 1.19571199],[0.         0.12571199]
105,11,1,15.0,8.0,"[16, 12, 21, 24]","[16, 12, 21, 24, 33, 34]","[0.96, 0.91, 1.2, 1.48]","[False, False, False, False]",19.csv,40.0,4,0,28.918294799498742,1.1170507402599696,0.0425288302749806,0.0002259647748524,[1.18868245 1.03994114 0.39447817 0.85076788],[0.         0.12994114 0.80552183 0.62923212]
106,12,2,20.0,8.0,"[16, 12, 21]","[16, 12, 21, 24, 33, 34]","[0.97, 1.07, 1.36]","[False, False, False]",19.csv,45.0,3,0,29.304478099480324,0.972781517181745,0.036797089345126,0.0002641065793468,[0.7300501  0.52525005 0.79462639],[0.         0.54474995 0.56537361]
107,13,3,25.0,8.0,"[16, 12]","[16, 12, 21, 24, 33, 34]","[0.65, 1.04]","[False, False]",19.csv,50.0,2,0,29.897381053324946,0.8317715508266076,0.0310156104659488,0.0002573909582236,[1.06315545 0.85568473],[0.         0.18431527]
108,14,4,30.0,8.0,"[16, 12]","[16, 12, 21, 24, 33, 34]","[0.89, 0.98]","[False, False]",19.csv,55.0,2,0,29.91836667687127,0.8860773673053736,0.0330861050298573,0.0002834170381176,[1.1781236  0.95124814],[0.         0.02875186]
109,15,2,168.7,131.0,"[777, 1413, 1452]","[777, 1413, 1452]","[1.36, 1.15, 1.4]","[False, False, False]",19.csv,193.7,3,1,30.21237162324768,0.8094558438454753,0.0278907538204974,0.0,[1.31147125],[0]
110,16,3,164.1,777.0,"[1413, 1452]","[1413, 1452]","[0.35, 0.72]","[False, False]",19.csv,189.1,2,1,30.28639930235619,0.7874484566516612,0.0269298556278251,0.0,[0.24769035],[0]
111,17,0,5.0,18.0,"[25, 19]","[25, 19]","[0.35, 0.61]","[True, True]",19.csv,30.0,2,0,26.43114297658863,1.351995754732308,0.0574097069465865,0.000302740588574,[0.36142352 0.35838172],[0.         0.25161828]
112,18,1,125.0,18.0,"[25, 19]","[25, 19]","[1.41, 1.46]","[True, True]",19.csv,150.0,2,0,25.661735067163715,0.8146795090906764,0.028125491815089,0.0004664260665852,[0.73028464 1.00598578],[0.         0.45401422]
113,19,2,130.0,18.0,"[25, 19]","[25, 19]","[0.77, 1.21]","[True, True]",19.csv,155.0,2,0,25.722592388219716,0.9080907172174364,0.0313619567905214,0.0005032675601581,[0.60382472 0.81987818],[0.         0.39012182]
114,20,2,15.0,23.0,"[28, 27]","[28, 27]","[1.08, 1.29]","[False, False]",19.csv,40.0,2,0,25.697272556390978,1.1474788077401543,0.043788706821519,0.0002104214647838,[0.81435291 0.87513164],[0.         0.41486836]
