,variable,coefficient,p-value,significatif,duration
62,LC Density,-0.6839826905132823,0.6354281669894509,False,38
63,const,2.36212840942533,0.003108919823756724,True,39
64,has ACC,1.879076327043501,0.0035139674265499245,True,39
65,lenght,-1.5418569426248718,0.057265720375632295,False,39
66,heavy in platoon,0.29469829806815395,0.5295275302114277,False,39
67,mean speed,-1.3896142037617731,0.12030436173471105,False,39
68,Density,-0.1452365128992643,0.9094269473924952,False,39
69,LC Density,-0.6839826905132823,0.6354281669894509,False,39
70,const,2.36212840942533,0.003108919823756724,True,40
71,has ACC,1.879076327043501,0.0035139674265499245,True,40
72,lenght,-1.5418569426248718,0.057265720375632295,False,40
73,heavy in platoon,0.29469829806815395,0.5295275302114277,False,40
74,mean speed,-1.3896142037617731,0.12030436173471105,False,40
75,Density,-0.1452365128992643,0.9094269473924952,False,40
76,LC Density,-0.6839826905132823,0.6354281669894509,False,40
77,const,2.02780963069482,0.0119972644045699,True,41
78,has ACC,1.8472403585402561,0.004511586130783036,True,41
79,lenght,-1.4288992645681384,0.0850385301958793,False,41
80,heavy in platoon,0.2774273327484465,0.558574644143342,False,41
81,mean speed,-0.9767380253202722,0.29638158923384217,False,41
82,Density,0.2630591190736399,0.838232102999604,False,41
83,LC Density,-0.8557900687680066,0.5566194626001961,False,41
84,const,2.0003628498180457,0.013587398461073276,True,42
85,has ACC,1.7937613534489072,0.005921486426475261,True,42
86,lenght,-1.466507335415104,0.07748543673943477,False,42
87,heavy in platoon,0.22780654324034785,0.6321153078051271,False,42
88,mean speed,-0.8511546121310063,0.36763712695379147,False,42
89,Density,0.3346851426308892,0.7961645054129418,False,42
90,LC Density,-0.9863551797957045,0.49856686521138727,False,42
91,const,2.0003628498180457,0.013587398461073276,True,43
92,has ACC,1.7937613534489072,0.005921486426475261,True,43
93,lenght,-1.466507335415104,0.07748543673943477,False,43
94,heavy in platoon,0.22780654324034785,0.6321153078051271,False,43
95,mean speed,-0.8511546121310063,0.36763712695379147,False,43
96,Density,0.3346851426308892,0.7961645054129418,False,43
97,LC Density,-0.9863551797957045,0.49856686521138727,False,43
98,const,2.0003628498180457,0.013587398461073276,True,44
99,has ACC,1.7937613534489072,0.005921486426475261,True,44
100,lenght,-1.466507335415104,0.07748543673943477,False,44
101,heavy in platoon,0.22780654324034785,0.6321153078051271,False,44
102,mean speed,-0.8511546121310063,0.36763712695379147,False,44
103,Density,0.3346851426308892,0.7961645054129418,False,44
104,LC Density,-0.9863551797957045,0.49856686521138727,False,44
105,const,2.0003628498180457,0.013587398461073276,True,45
106,has ACC,1.7937613534489072,0.005921486426475261,True,45
107,lenght,-1.466507335415104,0.07748543673943477,False,45
108,heavy in platoon,0.22780654324034785,0.6321153078051271,False,45
109,mean speed,-0.8511546121310063,0.36763712695379147,False,45
110,Density,0.3346851426308892,0.7961645054129418,False,45
111,LC Density,-0.9863551797957045,0.49856686521138727,False,45
112,const,2.111111336587679,0.011096643215098682,True,46
113,has ACC,1.8428579912817777,0.005037649537304192,True,46
114,lenght,-1.1353980201854201,0.1909079579571279,False,46
115,heavy in platoon,0.2127828225705244,0.6596327910778215,False,46
