,Unnamed: 0,time,leader,platoon compo,string compo,platoon DTW,ACC,run,duration,length,heavy in platoon,mean speed,Flow,Density,LC Density
61,14,85.0,93.0,"[95, 98, 81, 73, 78]","[95, 98, 81, 73, 78]","[0.58, 0.55, 0.69, 0.69, 0.66]","[False, False, False, False, False]",8.csv,110.0,5,0,3.0066841674250098,0.690015950560699,0.18039553612877626,7.8406706226378e-05
62,15,90.0,93.0,"[95, 98, 81, 73, 78]","[95, 98, 81, 73, 78]","[0.17, 0.13, 0.15, 0.16, 0.3]","[False, False, False, False, False]",8.csv,115.0,5,0,3.1212074847694398,0.6250835829238556,0.1853488870845311,4.687333554644524e-05
63,16,95.0,93.0,"[95, 98, 81, 73, 78]","[95, 98, 81, 73, 78]","[0.22, 0.25, 0.41, 0.5, 0.28]","[False, False, False, False, False]",8.csv,120.0,5,0,3.209081984987544,0.609484968362078,0.17558232267239265,0.00014642144586158725
64,17,100.0,93.0,"[95, 98, 81, 73, 78]","[95, 98, 81, 73, 78]","[0.46, 0.69, 0.65, 0.64, 0.53]","[False, False, False, False, False]",8.csv,125.0,5,0,3.397259367494049,0.6083092925980695,0.1615283884463358,0.00024780139837176854
65,18,105.0,93.0,"[95, 98, 81, 73, 78]","[95, 98, 81, 73, 78]","[0.37, 0.74, 0.71, 0.69, 0.36]","[False, False, False, False, False]",8.csv,130.0,5,0,3.570716705157867,0.5962128808610418,0.14180194363063628,0.0002870553051657359
66,19,110.0,93.0,"[95, 98, 81, 73, 78]","[95, 98, 81, 73, 78]","[0.31, 0.69, 0.7, 0.63, 0.35]","[False, False, False, False, False]",8.csv,135.0,5,0,3.7722082653818134,0.6070475093296823,0.13178173356497994,0.0002863247801818933
67,20,115.0,93.0,"[95, 98, 81, 73, 78]","[95, 98, 81, 73, 78]","[0.56, 0.92, 0.94, 0.75, 0.82]","[False, False, False, False, False]",8.csv,140.0,5,0,4.013566797712703,0.6226664086906301,0.1257285892961397,0.00029337204239479375
68,21,120.0,93.0,"[95, 98, 81, 73, 78]","[95, 98, 81, 73, 78]","[0.32, 0.69, 0.66, 0.55, 0.33]","[False, False, False, False, False]",8.csv,145.0,5,0,4.426345583160848,0.6218157335003232,0.11708927042297554,0.00027065102140552395
69,22,125.0,93.0,"[95, 98, 81, 73, 78]","[95, 98, 81, 73, 78]","[0.43, 0.82, 0.99, 0.73, 1.05]","[False, False, False, False, False]",8.csv,150.0,5,0,4.99030253502339,0.6149010940845567,0.1064989639843593,0.0002633017219466204
70,23,130.0,93.0,"[95, 98, 81, 73, 78]","[95, 98, 81, 73, 78]","[0.31, 0.27, 0.62, 0.79, 1.1]","[False, False, False, False, False]",8.csv,155.0,5,0,5.550238010000069,0.5759774018329404,0.0905123738460983,0.00021714904187222629
71,24,135.0,93.0,"[95, 98, 81, 73, 78]","[95, 98, 81, 73, 78]","[0.21, 0.25, 0.52, 0.68, 0.8]","[False, False, False, False, False]",8.csv,160.0,5,0,6.080835703955641,0.5352186585543659,0.07692898583800732,0.0001875717255462688
72,25,140.0,93.0,"[95, 98, 81, 73, 78]","[95, 98, 81, 73, 78]","[0.2, 0.36, 0.62, 0.7, 0.75]","[False, False, False, False, False]",8.csv,165.0,5,0,6.681477333609426,0.5013046422067243,0.06539035603693286,0.00018424703361750568
73,26,145.0,93.0,"[95, 98, 81, 73, 78]","[95, 98, 81, 73, 78]","[0.46, 0.51, 0.66, 0.69, 0.74]","[False, False, False, False, False]",8.csv,170.0,5,0,7.06430122171322,0.4793576304542112,0.05804410755743802,0.0001701903462734929
74,27,150.0,93.0,"[95, 98, 81, 73, 78]","[95, 98, 81, 73, 78]","[0.58, 0.43, 0.65, 0.64, 0.76]","[False, False, False, False, False]",8.csv,175.0,5,0,7.282779592803969,0.4849208237761022,0.05731972518221902,0.00017982875868640278
75,28,155.0,93.0,"[95, 98, 81, 73, 78]","[95, 98, 81, 73, 78]","[0.5, 0.43, 0.55, 0.36, 0.36]","[False, False, False, False, False]",8.csv,180.0,5,0,7.489866009779382,0.495839724707861,0.05777937599333837,0.00017633389793245683
76,29,160.0,93.0,"[95, 98, 81, 73, 78]","[95, 98, 81, 73, 78]","[0.77, 0.77, 0.81, 0.7, 0.72]","[False, False, False, False, False]",8.csv,185.0,5,0,7.711105068253069,0.5082566557185649,0.05842725610503475,0.00018220199714167717
77,30,165.0,93.0,"[95, 98, 81, 73, 78]","[95, 98, 81, 73, 78]","[0.89, 0.88, 0.96, 0.85, 0.86]","[False, False, False, False, False]",8.csv,190.0,5,0,7.939436026777509,0.5211530150988641,0.058881816837573694,0.00018901193980689783
78,31,170.0,93.0,"[95, 98, 81, 73, 78]","[95, 98, 81, 73, 78]","[0.88, 0.87, 0.97, 0.88, 0.87]","[False, False, False, False, False]",8.csv,195.0,5,0,8.170859255313342,0.53399721809248,0.059263050017412756,0.00019675647416139686
79,32,175.0,93.0,"[95, 98, 81, 73, 78]","[95, 98, 81, 73, 78]","[0.86, 0.84, 0.9, 0.88, 0.9]","[False, False, False, False, False]",8.csv,200.0,5,0,8.444087013600557,0.5481222472878036,0.05970568742933631,0.00019978479983047117
80,33,180.0,93.0,"[95, 98, 81, 73, 78]","[95, 98, 81, 73, 78]","[0.88, 0.87, 0.87, 0.89, 0.86]","[False, False, False, False, False]",8.csv,205.0,5,0,8.742009508766305,0.5632394629515642,0.06038892120740798,0.00020259299921969928
81,34,185.0,93.0,"[95, 98, 81, 73]","[95, 98, 81, 73, 78]","[1.4, 1.06, 0.98, 1.24]","[False, False, False, False]",8.csv,210.0,4,0,8.892364078439748,0.5866303733982864,0.06350753164580893,0.00019326901427475885
82,35,190.0,93.0,"[95, 98, 81, 73, 78]","[95, 98, 81, 73, 78]","[0.52, 0.57, 0.97, 1.19, 1.15]","[False, False, False, False, False]",8.csv,215.0,5,0,9.259927291547834,0.5945756755867653,0.062103654627259634,0.00020906268580721696
83,36,195.0,93.0,"[95, 98, 81, 73, 78]","[95, 98, 81, 73, 78]","[0.25, 0.35, 0.53, 1.05, 1.01]","[False, False, False, False, False]",8.csv,220.0,5,0,9.37781365199854,0.6090636019550205,0.06270995712935815,0.00020924468505910315
84,37,200.0,93.0,"[95, 98, 81, 73]","[95, 98, 81, 73]","[0.11, 0.34, 0.59, 1.05]","[False, False, False, False]",8.csv,225.0,4,0,9.247875374150018,0.6270898373447142,0.06552617651654566,0.00016409440177438068
85,38,205.0,93.0,"[95, 98, 81, 73]","[95, 98, 81, 73]","[0.18, 0.36, 0.61, 1.05]","[False, False, False, False]",8.csv,230.0,4,0,9.300969828445295,0.6378233998888512,0.0655242851158888,0.00013420324108556221
86,39,210.0,93.0,"[95, 98, 81, 73, 78]","[95, 98, 81, 73, 78]","[0.53, 0.58, 0.83, 1.18, 1.31]","[False, False, False, False, False]",8.csv,235.0,5,0,9.602859378848812,0.647543240470674,0.06390158634546807,0.0001452522386812174
87,40,215.0,93.0,"[95, 98, 81, 73, 78]","[95, 98, 81, 73, 78]","[1.03, 1.14, 1.08, 1.04, 1.04]","[False, False, False, False, False]",8.csv,240.0,5,0,9.758765058457199,0.6619190951609946,0.06391374219254851,0.00015740248551671395
88,41,220.0,93.0,"[95, 98, 81, 73, 78]","[95, 98, 81, 73, 78]","[0.95, 0.89, 0.85, 0.84, 0.6]","[False, False, False, False, False]",8.csv,245.0,5,0,9.874194640234512,0.6780692525763544,0.06411662348837942,0.00015994417995510857
89,42,225.0,93.0,"[95, 98, 81, 73, 78]","[95, 98, 81, 73, 78]","[0.42, 0.28, 0.47, 0.41, 0.79]","[False, False, False, False, False]",8.csv,250.0,5,0,10.000425127548276,0.6940174846615572,0.0638599680488161,0.00017456723595719487
90,43,230.0,93.0,"[95, 98, 81, 73, 78]","[95, 98, 81, 73, 78]","[0.41, 0.26, 0.42, 0.5, 0.4]","[False, False, False, False, False]",8.csv,255.0,5,0,10.293309037622171,0.71051454258705,0.06291786247964269,0.00019176793974174356
91,44,235.0,93.0,"[95, 98, 81, 73, 78]","[95, 98, 81, 73, 78]","[0.6, 0.38, 0.52, 0.34, 0.71]","[False, False, False, False, False]",8.csv,260.0,5,0,10.673367335222583,0.7288247461316021,0.06168531826172631,0.00021069638840117439
92,45,240.0,93.0,"[95, 98, 81, 73, 78]","[95, 98, 81, 73, 78]","[0.99, 0.93, 0.66, 0.6, 0.54]","[False, False, False, False, False]",8.csv,265.0,5,0,11.129840008274183,0.7506222648922755,0.06116948180958298,0.00023080101614274907
93,46,245.0,93.0,"[95, 98, 81, 73, 78]","[95, 98, 81, 73, 78]","[0.44, 0.47, 0.54, 0.53, 0.37]","[False, False, False, False, False]",8.csv,270.0,5,0,11.710919923781937,0.7745253620002494,0.06097627971419982,0.0002535989382722563
94,47,250.0,93.0,"[95, 98, 81, 73, 78]","[95, 98, 81, 73, 78]","[0.7, 0.74, 0.42, 0.5, 0.11]","[False, False, False, False, False]",8.csv,275.0,5,0,12.374081620903578,0.8004708233861767,0.060898532559615956,0.0002628713635666876
95,48,255.0,93.0,"[95, 98, 81, 73, 78]","[95, 98, 81, 73, 78]","[0.52, 0.65, 0.69, 0.9, 0.81]","[False, False, False, False, False]",8.csv,280.0,5,0,13.044479489254261,0.831323172245318,0.0614886905672281,0.0002919968210049772
